country,year,primary,secondary,tertiary,region
australia,1820,21,0,0,"advanced economies"
australia,1825,23,0,0,"advanced economies"
australia,1830,26,0,0,"advanced economies"
australia,1835,28,0,0,"advanced economies"
australia,1840,31,0,0,"advanced economies"
australia,1845,33,0,0,"advanced economies"
australia,1850,36,0,0,"advanced economies"
australia,1855,39,0,0,"advanced economies"
australia,1860,42,0,0,"advanced economies"
australia,1865,45,0,0,"advanced economies"
australia,1870,49,0,0,"advanced economies"
australia,1875,52,0,0,"advanced economies"
australia,1880,55,0,0,"advanced economies"
australia,1885,58,0,0,"advanced economies"
australia,1890,47,0,0,"advanced economies"
australia,1895,52,1,0,"advanced economies"
australia,1900,56,1,0,"advanced economies"
australia,1905,60,2,0,"advanced economies"
australia,1910,64,3,0,"advanced economies"
australia,1915,68,5,0,"advanced economies"
australia,1920,72,7,0,"advanced economies"
australia,1925,77,10,0,"advanced economies"
australia,1930,81,14,0,"advanced economies"
australia,1935,85,14,1,"advanced economies"
australia,1940,89,19,1,"advanced economies"
australia,1945,93,23,2,"advanced economies"
australia,1950,98,34,5,"advanced economies"
australia,1955,100,39,3,"advanced economies"
australia,1960,82,54,7,"advanced economies"
australia,1965,83,55,9,"advanced economies"
australia,1970,91,73,11,"advanced economies"
australia,1975,97,80,19,"advanced economies"
australia,1980,100,78,23,"advanced economies"
australia,1985,97,87,27,"advanced economies"
australia,1990,98,79,38,"advanced economies"
australia,1995,99,90,73,"advanced economies"
australia,2000,95,100,72,"advanced economies"
australia,2005,95,100,79,"advanced economies"
australia,2010,97,100,93,"advanced economies"
austria,1820,10,0,0,"advanced economies"
austria,1825,11,0,0,"advanced economies"
austria,1830,13,0,0,"advanced economies"
austria,1835,14,0,0,"advanced economies"
austria,1840,16,0,0,"advanced economies"
austria,1845,18,0,0,"advanced economies"
austria,1850,19,0,0,"advanced economies"
austria,1855,21,0,0,"advanced economies"
austria,1860,24,0,0,"advanced economies"
austria,1865,26,0,0,"advanced economies"
austria,1870,28,0,0,"advanced economies"
austria,1875,40,0,0,"advanced economies"
austria,1880,52,0,0,"advanced economies"
austria,1885,64,0,0,"advanced economies"
austria,1890,45,0,0,"advanced economies"
austria,1895,71,0,0,"advanced economies"
austria,1900,80,0,0,"advanced economies"
austria,1905,79,0,0,"advanced economies"
austria,1910,79,0,0,"advanced economies"
austria,1915,81,0,0,"advanced economies"
austria,1920,84,0,1,"advanced economies"
austria,1925,86,0,1,"advanced economies"
austria,1930,89,0,1,"advanced economies"
austria,1935,92,1,1,"advanced economies"
austria,1940,94,2,1,"advanced economies"
austria,1945,97,3,3,"advanced economies"
austria,1950,100,6,0,"advanced economies"
austria,1955,100,15,0,"advanced economies"
austria,1960,91,45,3,"advanced economies"
austria,1965,91,47,4,"advanced economies"
austria,1970,89,67,7,"advanced economies"
austria,1975,88,68,14,"advanced economies"
austria,1980,88,69,20,"advanced economies"
austria,1985,86,74,24,"advanced economies"
austria,1990,91,90,32,"advanced economies"
austria,1995,97,95,46,"advanced economies"
austria,2000,100,93,59,"advanced economies"
austria,2005,98,97,51,"advanced economies"
austria,2010,97,96,74,"advanced economies"
belgium,1820,6,0,0,"advanced economies"
belgium,1825,7,0,0,"advanced economies"
belgium,1830,8,0,0,"advanced economies"
belgium,1835,9,0,0,"advanced economies"
belgium,1840,10,0,0,"advanced economies"
belgium,1845,11,0,0,"advanced economies"
belgium,1850,13,0,0,"advanced economies"
belgium,1855,15,0,0,"advanced economies"
belgium,1860,17,0,0,"advanced economies"
belgium,1865,19,0,0,"advanced economies"
belgium,1870,21,0,0,"advanced economies"
belgium,1875,24,0,0,"advanced economies"
belgium,1880,26,0,0,"advanced economies"
belgium,1885,29,0,0,"advanced economies"
belgium,1890,55,0,0,"advanced economies"
belgium,1895,61,0,0,"advanced economies"
belgium,1900,74,0,0,"advanced economies"
belgium,1905,73,0,0,"advanced economies"
belgium,1910,77,0,0,"advanced economies"
belgium,1915,79,0,0,"advanced economies"
belgium,1920,81,1,0,"advanced economies"
belgium,1925,82,1,0,"advanced economies"
belgium,1930,84,2,0,"advanced economies"
belgium,1935,86,4,0,"advanced economies"
