Country,Year,Primary,Secondary,Tertiary,Region
,,,,,
,,,,,
,,,,,
Australia,1820,"21,6",0,0,"Advanced Economies"
,1825,"23,79",0,0,"Advanced Economies"
,1830,"26,13",0,0,"Advanced Economies"
,1835,"28,61",0,0,"Advanced Economies"
,1840,"31,23","0,01",0,"Advanced Economies"
,1845,"33,98","0,01",0,"Advanced Economies"
,1850,"36,84","0,03",0,"Advanced Economies"
,1855,"39,8","0,04",0,"Advanced Economies"
,1860,"42,84","0,07",0,"Advanced Economies"
,1865,"45,93","0,1",0,"Advanced Economies"
,1870,"49,07","0,16","0,01","Advanced Economies"
,1875,"52,21","0,24","0,01","Advanced Economies"
,1880,"55,34","0,37","0,02","Advanced Economies"
,1885,"58,43","0,55","0,03","Advanced Economies"
,1890,"47,87","0,81","0,04","Advanced Economies"
,1895,"52,05","1,2","0,06","Advanced Economies"
,1900,"56,23","1,75","0,09","Advanced Economies"
,1905,"60,41","2,55","0,13","Advanced Economies"
,1910,"64,58","3,67","0,19","Advanced Economies"
,1915,"68,76","5,25","0,27","Advanced Economies"
,1920,"72,94","7,44","0,4","Advanced Economies"
,1925,"77,12","10,42","0,57","Advanced Economies"
,1930,"81,29","14,38","0,81","Advanced Economies"
,1935,"85,47","14,97","1,16","Advanced Economies"
,1940,"89,65","19,01","1,65","Advanced Economies"
,1945,"93,83","23,97","2,16","Advanced Economies"
,1950,98,"34,97","5,55","Advanced Economies"
,1955,100,"39,66","3,43","Advanced Economies"
,1960,"82,3","54,25","7,07","Advanced Economies"
,1965,"83,88","55,17","9,71","Advanced Economies"
,1970,91,"73,56","11,2","Advanced Economies"
,1975,97,80,"19,8","Advanced Economies"
,1980,100,78,"23,9","Advanced Economies"
,1985,97,87,27,"Advanced Economies"
,1990,98,79,"38,2","Advanced Economies"
,1995,"99,85",90,"73,5","Advanced Economies"
,2000,95,100,72,"Advanced Economies"
,2005,95,100,79,"Advanced Economies"
,2010,97,100,93,"Advanced Economies"
,,,,,
,,,,,
,,,,,
,,,,,
Austria,1820,"10,76",0,0,"Advanced Economies"
,1825,"11,97",0,"0,01","Advanced Economies"
,1830,"13,3",0,"0,01","Advanced Economies"
,1835,"14,76",0,"0,01","Advanced Economies"
,1840,"16,34",0,"0,01","Advanced Economies"
,1845,"18,05",0,"0,01","Advanced Economies"
,1850,"19,91",0,"0,01","Advanced Economies"
,1855,"21,9",0,"0,02","Advanced Economies"
,1860,"24,03",0,"0,02","Advanced Economies"
,1865,"26,31",0,"0,02","Advanced Economies"
,1870,"28,72",0,"0,03","Advanced Economies"
,1875,"40,53",0,"0,04","Advanced Economies"
,1880,"52,35",0,"0,04","Advanced Economies"
,1885,"64,16",0,"0,05","Advanced Economies"
,1890,"45,44",0,"0,06","Advanced Economies"
,1895,"71,36",0,"0,08","Advanced Economies"
,1900,"80,85","0,02","0,09","Advanced Economies"
,1905,"79,75","0,04","0,11","Advanced Economies"
,1910,"79,06","0,09","0,14","Advanced Economies"
,1915,"81,68","0,18","0,16","Advanced Economies"
,1920,"84,3","0,32","1,16","Advanced Economies"
,1925,"86,91","0,56","1,43","Advanced Economies"
,1930,"89,53","0,94","1,76","Advanced Economies"
