region,value
afghanistan,93
angola,96
azerbaijan,1231
moldova,170
madagascar,39
mexico,3624
macedonia,266
mali,249
myanmar,82
montenegro,3952
mongolia,206
mozambique,47
mauritania,13
burundi,9
malawi,16
malaysia,1417
namibia,31
new caledonia,22
niger,4
nigeria,874
nicaragua,69
netherlands,6750
norway,2042
nepal,112
belgium,2531
new zealand,991
oman,112
pakistan,1587
panama,119
peru,941
philippines,648
papua new guinea,24
poland,9740
puerto rico,29
north korea,3
benin,5
portugal,1412
paraguay,126
palestine,78
qatar,180
romania,3575
russia,43879
rwanda,49
saudi arabia,579
sudan,68
burkina faso,20
senegal,53
solomon islands,2
sierra leone,12
el salvador,98
somalia,92
republic of serbia,668
suriname,10
slovakia,1785
bangladesh,369
slovenia,545
sweden,3169
swaziland,9
syria,79
chad,2
togo,6
thailand,1045
tajikistan,87
turkmenistan,44
east timor,30
bulgaria,961
trinidad and tobago,46
tunisia,355
turkey,3411
taiwan,3923
united republic of tanzania,140
uganda,116
ukraine,4004
uruguay,227
united states of america,2546
uzbekistan,528
the bahamas,6
venezuela,597
vietnam,2565
vanuatu,31
yemen,15
south africa,2877
zambia,29
zimbabwe,42
bosnia and herzegovina,229
belarus,1262
albania,153
belize,205
bolivia,105
brazil,13560
brunei,33
bhutan,29
botswana,38
central african republic,140
canada,4206
switzerland,3016
chile,1334
united arab emirates,739
china,14421
ivory coast,69
cameroon,103
democratic republic of the congo,45
republic of congo,5
colombia,5612
costa rica,174
cuba,144
cyprus,114
argentina,2421
czech republic,4253
germany,25864
djibouti,22
denmark,2092
dominican republic,268
algeria,206
ecuador,291
egypt,632
spain,7276
armenia,340
estonia,446
ethiopia,42
finland,1733
fiji,15
france,11913
gabon,192
georgia,420
ghana,78
guinea,2
gambia,4
guinea bissau,1
equatorial guinea,71
greece,4721
greenland,15
guatemala,145
guyana,10
honduras,54
croatia,664
french southern and antarctic lands,37
haiti,25
hungary,2710
indonesia,3532
india,15368
ireland,1313
iran,13465
iraq,76
iceland,330
israel,1559
italy,13136
australia,6479
jamaica,14
jordan,104
japan,24673
kazakhstan,1149
kenya,259
kyrgyzstan,123
cambodia,59
south korea,6608
kuwait,126
austria,2497
laos,247
lebanon,63
liberia,3
libya,208
sri lanka,500
lesotho,12
lithuania,918
luxembourg,214
latvia,583
morocco,475
