region,value
afghanistan,1379851660
angola,1523541280
azerbaijan,19355704210
moldova,2522921560
madagascar,604778260
mexico,54366104160
macedonia,4154875620
mali,3530200310
myanmar,1289532780
montenegro,61485335420
mongolia,3104019430
mozambique,751306630
mauritania,196563160
burundi,126054550
malawi,252590380
malaysia,21182478850
namibia,471545600
new caledonia,314456290
niger,52697990
nigeria,13220533080
nicaragua,1067562730
netherlands,98223089270
norway,30509528230
nepal,1621970550
belgium,37364901060
new zealand,14438434670
oman,1707308760
pakistan,24335354700
panama,1801751020
peru,14434053120
philippines,9884851760
papua new guinea,386038260
poland,143919176800
puerto rico,466998300
north korea,53620390
benin,73136180
portugal,20937102610
paraguay,1839990310
palestine,1171601660
qatar,2795530920
romania,52514600180
russia,646647111360
rwanda,745930920
saudi arabia,9092260090
sudan,1007457740
burkina faso,304869290
senegal,823649710
solomon islands,30333080
sierra leone,182847660
el salvador,1459783840
somalia,1455419760
republic of serbia,10025299710
suriname,157167170
slovakia,25873158630
bangladesh,5590106270
slovenia,7900385830
sweden,47248428590
swaziland,142679470
syria,1232079390
chad,31628100
togo,86030540
thailand,15703123160
tajikistan,1315034310
turkmenistan,695618440
east timor,465199270
bulgaria,14608764540
trinidad and tobago,703279620
tunisia,5276399050
turkey,50857716450
taiwan,59309301470
united republic of tanzania,2124681310
uganda,1787430480
ukraine,57960600730
uruguay,3430105980
united states of america,38186193540
uzbekistan,8101225560
the bahamas,103739320
venezuela,9207229980
vietnam,38178145940
vanuatu,416664500
yemen,230293900
south africa,41770448490
zambia,423667050
zimbabwe,627168260
bosnia and herzegovina,3330535690
belarus,18307241280
albania,2413074460
belize,3231273540
bolivia,1610617290
brazil,199747914720
brunei,490263530
bhutan,427265420
botswana,546765970
central african republic,1916305290
canada,62780312160
switzerland,44069238640
chile,20033632960
united arab emirates,11031897200
china,226617067550
ivory coast,1051192430
cameroon,1612975720
democratic republic of the congo,750193340
republic of congo,78954650
colombia,86127540720
costa rica,2664772440
cuba,2285042970
cyprus,1807597890
argentina,35756292570
czech republic,62057593740
germany,381280081050
djibouti,353437110
denmark,30898981390
dominican republic,4153079160
algeria,3138000180
ecuador,4519597320
egypt,9306483730
spain,108021286710
armenia,5207469980
estonia,6643926400
ethiopia,647231600
finland,25680483780
fiji,217262920
france,177437594530
gabon,2687823600
georgia,6291873260
ghana,1178615880
guinea,29945130
gambia,61668290
guinea bissau,15352940
equatorial guinea,1005565010
greece,70161629220
greenland,234154660
guatemala,2202977530
guyana,168701700
honduras,855136840
croatia,9968409480
french southern and antarctic lands,619009440
haiti,383094220
hungary,39966807210
indonesia,51232730520
india,230068255450
ireland,19127665550
iran,200431637850
iraq,1134608900
iceland,5039300750
israel,23230650880
italy,194801668950
australia,94705168340
jamaica,200769750
jordan,1560235620
japan,372133338620
kazakhstan,17141664640
kenya,3918234420
kyrgyzstan,1837439370
cambodia,896229450
south korea,98014148730
kuwait,1991964410
austria,36346444840
laos,3913643880
lebanon,997937830
liberia,48451970
libya,3263701430
sri lanka,7736085980
lesotho,159910680
lithuania,13561724060
luxembourg,3187698760
latvia,8568210640
morocco,7194417220
